mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,mode_3_N,mode_3_mean,mode_3_stdev,mode_3_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error,wall_time
1834.630247203383,6.403477225451213e-07,1.7090626857636302,0.9885192456253784,1565907.49876328,4.138090373436178e-09,2.192373555699072,0.0615658005099702,4584747.682395316,1.5111136800946156e-09,1.44299180932094,0.511306373022092,1.6354012337759771,260.1156054151872,53167.4147892004,0.0026394258197804,SciPy,Timed Out,273.05178666114807
213412380066.7353,1.951257897355339e-09,2.938267763342276,0.0019997907953756,552182539.9290465,1.5914945188092664e-06,2.313592528680573,1.347803216674478,19631350.93671512,1.1038396457203052e-08,2.0293396374382224,0.7007270363750917,0.0781778801315034,260.77601349278973,93579.23199971352,0.0015792086104561,SciPy,Timed Out,272.86878776550293
226193.6280116893,1.7900706135730563e-08,2.9990106467048934,0.0124855108010879,1690538.098400012,3.5444795919331784e-09,2.6066891421940577,0.3429998175296724,2382936.5584948137,9.412380037688968e-06,2.6966060199802384,0.6465379757501617,1.258790490293443,289.01306039379216,91714.89808118364,0.0124750874552882,SciPy,Timed Out,272.70072531700134
2139357278.4176655,1.1420203608991942e-08,1.5627435437848938,1.4167309083869486,59684635476.20102,4.7038652490551525e-09,2.6278108036112817,0.0573651436238742,222472657.65865692,6.135917534522229e-07,1.9404846931619515,1.1823374783138545,2.3705255371874747,278.18968831987024,90457.4357361426,0.0060781449379166,SciPy,Timed Out,275.1477220058441
8807757.19977501,1.6900533986961409e-06,1.6123890073525624,0.8550675508597123,26234.84224233872,1.900837079543672e-07,2.6123981652691883,0.5436401439406725,246822933581.49036,3.1712015556241036e-09,1.6545978135289985,0.0021922341583459,0.1002231636469654,298.998756019255,66317.7302416422,0.0329069062831003,SciPy,Timed Out,277.11247158050537
10415277.942191835,2.624987340306076e-06,2.523198863161827,0.2844082654093888,287803.305610429,2.502655491034445e-08,1.9745297305238112,1.2277316347375071,176245341337.47678,2.1619917893191284e-09,2.4229106486682004,0.195846628725988,5.4637167237307125,248.5722432142766,66409.06306226003,0.0007871524893665,SciPy,Timed Out,273.4007713794708
420266500656.6809,1.378588747037272e-09,2.214861024311418,0.14267833830278,15152.64173867735,7.906974817300784e-06,2.4113269778404454,1.2722766877100289,849008.7088174528,2.1153876685375924e-08,2.091170435322001,0.7169108345571068,0.0447143064333085,258.6954463300149,50571.90787146084,0.0024705233151815,SciPy,Timed Out,273.0235137939453
241354514.7349972,1.6324500088460516e-08,2.868034095958881,0.2052137180571354,352439.8733605312,1.6003441837290045e-07,2.330984428072221,0.191808970004706,98242680433.75424,1.4665923730780966e-09,1.983329658963248,0.0135878882158222,1.6238632484838251,298.7811014071983,91495.23619002142,0.0231971021890159,SciPy,Timed Out,273.3530743122101
479288.3046887164,7.37182811705095e-06,2.721548711988916,0.6382962597079883,1391171.658415118,3.1037065945542806e-08,2.563657426285806,0.8950206078895359,1081524060.8282175,1.207702348413591e-09,2.2950337421044367,0.0270821726928787,0.5067285147935776,289.47136119640254,99411.1156397764,0.0118389302524531,SciPy,Timed Out,273.8200898170471
842641.5390887583,7.411469843098168e-08,2.4743548539579487,0.0009429972302132,35691817.0685371,2.246732571136241e-09,2.3072804278885988,1.2995089197918173,20484.441118350634,4.245963676012678e-07,2.7326743880243725,0.3950157016051558,2.122625109017445,277.4381535617867,67029.85111622643,0.0078037999058458,SciPy,Timed Out,273.227285861969
55053533.42875208,3.7764789771145706e-06,2.893980528466556,1.2119842919687382,796172805.588644,2.0603014423582106e-07,1.7786014171239493,1.2733842087512035,1355147.8596205125,1.3141252418281963e-09,2.814221192439434,0.0740323316908179,3.3329887325721854,304.862023280946,100655.00320740612,0.0303170381241212,SciPy,Timed Out,271.4508605003357
34559.87263295841,6.172301841135373e-08,1.331037387537702,0.4295654087815056,9213949012.456331,1.2127350359913533e-08,2.6463679375587814,0.0352516272808265,445771.3744736407,2.5359866245573255e-08,1.6088984247441342,0.2588752266092352,0.1870353469604397,251.40291578706567,102159.16203941268,0.0006572966794465,SciPy,Timed Out,273.08610248565674
530794376.4366109,1.0375340756571156e-08,2.5951095895811536,0.000324934366212,219319728.04475117,2.9103383188869255e-08,1.808986363933832,0.5211722561747775,1207806762.8229723,2.0544533796516397e-09,2.084242526471889,0.8808223117932685,8.64756157116103,284.4030890378138,56128.87529383067,0.0151629307562347,SciPy,Timed Out,272.0450904369354
478708497.5933091,1.004521875283023e-09,1.9089599473449173,0.0726260346101011,643260566.7176243,5.170905169237245e-07,2.922428496884576,1.0360734813252022,185809250.72960305,2.474834934623927e-06,1.9171291229683105,0.1809298006452286,0.0228857807518694,268.6531886875181,93001.8906130114,0.0029446792523043,SciPy,Timed Out,273.1241602897644
13621246811.911882,1.3162804171787105e-08,2.683131887424642,0.0093521123978282,153747.83105061346,8.769492551453416e-08,2.199076723026092,0.7588973532376742,83142887.30617428,1.7182911244978918e-06,2.705064861557653,0.2653289224504542,0.0497750181447284,282.0082478914631,80340.18279420462,0.0089357243985307,SciPy,Timed Out,270.51981806755066
955308405.7664928,8.955882294954511e-08,1.8637782755811048,0.6284567521252538,22453406687.185635,1.5745301351295932e-09,1.6149828946394815,0.0893259753315665,3593570646.6673903,8.230313979326232e-08,2.615366083532984,0.5734305780458097,1.378526359229239,264.81454808744627,93720.18996107772,0.0021741338189222,SciPy,Timed Out,273.52246928215027
3014.1213522748712,7.897840598334238e-06,1.4692592250726224,1.1518371622495431,3842856.772898979,4.708610644931229e-09,1.9892552063703817,0.0125349733747337,37953.04542824485,3.044630970312156e-07,2.2610451837471377,1.4254869886243369,0.0150290422172208,259.8980348663665,95207.19303929392,0.0014453784033568,SciPy,Timed Out,290.1111078262329
