mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error,wall_time
1074698.3001791188,1.071894323151084e-09,2.195053568778271,0.127299224945097,351422.9522324725,4.2608960803580873e-08,1.4571531471154129,0.956161389159894,6.683060473992737,274.98569274048816,91735.0710676671,0.0047211211637407,SciPy,Timed Out,1028.4787328243256
77532889765.43758,3.5136028128149203e-09,2.711009918716736,0.0682068036075605,1443216.5846633394,8.662029881934398e-06,2.6998167951733,0.4088030565128017,0.0598436651226629,287.53204189343245,104266.2258410666,0.0098357626783775,SciPy,Timed Out,1065.215140581131
278379.0043796814,5.384924335693051e-09,2.47457325608005,0.0102299838221306,12505.63873349064,2.9735899099260805e-06,1.659336478528905,1.0271834821503767,2.06786329322394,300.61869350413065,67502.85868042517,0.0353341764575119,SciPy,Timed Out,1032.3108248710632
92418.16085209696,4.807663718736637e-06,1.6744097750531892,1.346698425648928,2859335.4652289785,1.2615400749826464e-09,2.0023192323674226,0.0189788296671387,1.1327895003644757,282.1407981217137,62308.46767706736,0.0115569015135628,SciPy,Timed Out,1035.2147362232208
171943977.51327848,1.3222024188540524e-09,2.628933874082427,0.2255556668020345,4310505.381472585,9.53757279921262e-07,1.2942523616203367,1.3291999909709773,8.30186947250841,297.4863857629546,61539.07814931115,0.0320444544576752,SciPy,Timed Out,1033.157693386078
1042967.3893474326,1.6726605594661392e-09,2.0276292785085634,0.095991308985967,4534534629.354611,9.990307195706615e-08,1.34459209906493,0.3149162057891054,3.0977219305069346,285.4080498294314,88260.24206409616,0.0101207967905738,SciPy,Timed Out,1036.9917314052582
8019852.125339699,2.066332946386289e-09,1.997814164532696,0.0498071680263676,1491775433.4243646,7.954708817219193e-08,2.657380471014905,1.4646351248068183,0.131177643346046,285.6101557737709,62678.04983978525,0.01454327264262,SciPy,Timed Out,1041.9533400535583
1721268158.7070384,1.6486636939405013e-07,1.926271117257024,0.8809371701014661,79345119.10295454,1.4336185964043435e-09,2.681565236690148,0.2920440890613793,0.0661800435656703,265.28468238276463,77658.28526525968,0.0026965883640849,SciPy,Timed Out,1075.7111554145813
37069448.79100258,1.0878451520174954e-09,2.5964491452154577,0.3602915526660926,13870016.449839866,1.1821604346827515e-07,2.459876085946246,0.7747991445821538,0.013207561206408,280.5407030174559,72768.07734563999,0.0088377758938455,SciPy,Timed Out,1057.9871129989624
246584.2635049947,1.863993608460146e-06,2.151071878324018,0.1418412082769067,22081660503.96619,1.3153942613019604e-08,2.7910374503880204,0.0186536378709052,0.0282797736169206,251.05098950336588,94236.82956961956,0.0006840470983973,SciPy,Timed Out,1120.1287529468536
4259530.908696177,1.6715248444575982e-06,2.9895077741864733,0.1105664294541481,153583952238.92175,4.464327379886002e-09,2.7562267892109125,0.0868528228716218,0.1902769032891124,293.72160810378506,81047.94029142076,0.0189724447049665,SciPy,Timed Out,1048.8854925632477
1695670987.4720628,2.284514140733494e-07,1.4207167989089318,0.6318981194873967,1904301646.675052,2.016535189610685e-09,1.989459712280104,0.0056031013881217,0.0252665167313707,264.01695575566674,60935.6127074846,0.0031149047706861,SciPy,Timed Out,1135.9849681854248
7419729519.7276945,1.159268854856662e-09,1.975626860001288,0.1085524550662091,444289004.5003528,3.0624496849306155e-08,2.628753941316773,0.449966158373479,6.552999543047558,285.756497702043,79880.84233950943,0.0114657184267015,SciPy,Timed Out,1043.9228830337524
60897441.8569324,1.588902335637758e-09,2.613468715542737,0.0357587879458972,386009812.5818624,1.0102924210041094e-08,2.205012994948832,0.4357808870734064,4.633048620560091,289.15428030457633,51571.72565143684,0.0225135645322199,SciPy,Timed Out,1033.3740804195404
1996314.7817210704,1.2217520642272605e-06,2.4834021722602038,1.45133693103369,752106.2967325681,5.244123003200884e-09,1.4349856346665275,0.0120376327084316,0.0247374659360606,282.3402816738069,85205.6497658753,0.0085247615462361,SciPy,Timed Out,1157.3251736164093
433785022.6475051,1.52749646999374e-09,2.2767977719057715,0.3456978277609664,31911198.57065292,2.6644120104534157e-09,2.838243104265392,0.000961525258784,0.1364230316471551,307.774165673398,61915.82464254621,0.0600519329608213,SciPy,Unexpected istate in LSODA.,79.07776045799255
197284656.3431253,4.502845884615929e-06,1.5617232455310703,0.9357049159922318,674231763.3896354,4.648208421322335e-07,2.4583207747986577,1.0889603717503031,0.0101024842907529,265.9837088643076,57564.01887250828,0.0038472684786815,PySDM,Timed Out,1005.0519971847534
3329523.667650603,1.121154053762129e-09,2.680125769244316,0.0787267190484181,285485.9812183713,8.335875810518904e-06,1.251743323868013,1.2769176036592602,7.0476922120979655,250.0911772220169,78522.94601462124,0.0007544700415666,SciPy,Timed Out,1032.5476269721985
69589.00176658243,4.192134121911688e-06,2.393883857912338,1.2169778897069454,10780077.21165542,1.5829063943887431e-09,2.89302022855227,0.2213231771783173,2.0919044810486143,258.0998068438398,66209.71659176506,0.0017767777519933,SciPy,Timed Out,1031.8979251384735
30547019.135599863,5.155320639962356e-09,2.84960542977627,1.303597794342033,737949958.2082518,1.1518949836799411e-09,2.5998930503417625,0.0840315141755475,0.9012810322693868,304.92920769859694,61411.74196449589,0.0509423490293751,SciPy,Timed Out,1032.3200640678406
251167976.5462128,7.554652915500558e-07,2.959475922554573,1.458337768519248,340049009756.7444,2.8486325812939436e-09,2.587894500888636,0.15605299728341,1.1100499351732067,252.39963080611565,73218.85221251354,0.0009907706333327,SciPy,Timed Out,1036.858723402023
15518846.983933344,8.608399959524513e-09,2.979908650792109,0.0544309312620241,3717357.124222644,6.218383351422793e-06,2.553379790559428,1.4478270417155694,0.451962865004492,256.05004501215683,91912.69687478176,0.0010778805098381,SciPy,Timed Out,1034.7434904575348
51656706.97367372,1.2134725879138876e-09,2.891463182353373,0.0030701253166353,563924.9753113337,2.8813527977339225e-06,2.324493044105572,1.073436653490648,0.015803745625041,285.5541714726645,73228.7496970964,0.0123596478510729,SciPy,Unexpected istate in LSODA.,58.615232706069946
16965799108.865538,1.246019817923448e-09,2.3497011276093818,0.136387731666095,20370183.825889517,5.200119170552152e-09,2.3121735252330504,0.8562313078180324,1.6475961227219005,305.01604927294824,69416.02614638259,0.0448821501211865,SciPy,Timed Out,1035.8250403404236
14135142.490294963,1.6771358476376787e-09,1.99273006316188,0.1463710372073682,6242664.858482955,7.263682448741304e-06,2.559772159419407,1.255697910723614,0.0453012980684006,279.8246451607304,94148.8431317937,0.0064789294865376,SciPy,Timed Out,1050.5723931789398
423962.1582303852,1.6428947957610866e-08,1.6293804430860188,1.2570906033130342,475717002.61717176,6.440713155262176e-09,2.5364480344968463,0.0145855505997078,0.0139729173017803,284.6088580233233,98397.41066297852,0.0085908943372919,SciPy,Timed Out,1223.7486369609833
309.53834927292115,5.301653160493017e-06,2.496230510175265,0.7843445586231277,83797508.63714977,1.0208385870511118e-09,2.8846151846488017,0.5553475948692081,1.9330943001179943,279.270389601853,52133.62647170997,0.0113488294489204,SciPy,Timed Out,1040.2656643390656
554732488.2071035,2.159162050366138e-07,2.8233405020410105,1.325311681132057,28625345.98289809,8.897895169141426e-09,2.207813914708105,9.202586881781028e-06,0.3012855453977922,280.29615055279726,76922.37794459803,0.008213485079803,SciPy,Timed Out,1042.410001039505
