mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error,wall_time
1363243839.0772662,1.0035152150023754e-09,2.898522480525033,0.4357812628234235,0.3352595296663339,271.0442393359052,64383.638813229,0.00510326039417,SciPy,Timed Out,276.61971712112427
27225709.05965495,2.0241974877696604e-09,2.713982523322625,0.1962510115060793,0.2757751062074788,259.25216324807843,88114.61692541628,0.0014817272772863,SciPy,Timed Out,268.608882188797
743863.7589642538,1.8675157440126108e-09,2.887348188552377,0.19500246786538,0.0775343924400636,267.9649426404624,99781.89416140826,0.0026038529507947,SciPy,Timed Out,271.26607394218445
120325377.21208826,1.1960880342180058e-09,2.8079704663658127,0.1217543983010876,0.1390397642996545,258.8254584584338,59284.28815047204,0.0021288980341025,SciPy,Timed Out,270.81496381759644
1234199.8626000376,1.0158742301971816e-09,2.072601015088953,0.2339218885046642,1.2095879428534313,307.0608667207161,73018.41186133464,0.048607992069977,SciPy,Timed Out,267.93512749671936
185725318964.20535,3.381808572334305e-09,2.4092176223169703,0.0279213652402637,0.0803673142919613,287.1433288070656,82168.31969551972,0.0123423163231833,SciPy,Timed Out,271.80263113975525
5322698394.160918,1.805647751315264e-07,2.544202768965052,0.3515338671799487,0.0129991036970155,308.454314050579,74428.64773103429,0.0517555286296836,PySDM,Timed Out,244.1224136352539
10502056.031211266,1.478663568926453e-09,1.834295644360446,0.0140744228329223,0.0776690501984331,284.2056605649291,96599.12576497748,0.0086062222719831,SciPy,Timed Out,273.0164330005646
303427520485.3233,1.8508556490396886e-09,2.3336151951046995,0.0612942103484777,0.0361712885556908,274.3297267998838,60361.63929924626,0.0069384911507419,SciPy,Timed Out,278.5122628211975
11946542.893345388,1.4904895876237059e-09,2.957839791721498,0.1580324336599611,0.0334909908811969,264.53540309904207,103439.8357313823,0.001926628562512,SciPy,Timed Out,279.22881865501404
1037872.086242062,6.815432127955242e-09,2.5798885305953485,0.0594851384168809,1.2465328526206674,291.1370206492468,58361.57717693172,0.0227948183826988,SciPy,Timed Out,270.0445547103882
573794849.8756348,2.6174499519376692e-09,2.9399477489753583,0.0631472247970406,0.5761702912681025,292.964800845747,94223.48886904684,0.0156496950506657,SciPy,Timed Out,269.0274085998535
1705373206.2520094,7.022580828556838e-08,2.8941965865609736,0.0007290115198385,3.1761821271758115,304.69193797065384,70274.03859196843,0.0439034599765318,SciPy,Timed Out,275.3729538917541
1481150.2881540172,4.982950122387894e-09,2.936152398039769,0.0339759434928236,0.0325943143399743,275.1550122535381,54901.86581785827,0.0081088940836208,SciPy,Timed Out,281.1485357284546
89105393.27000403,7.703113245367823e-09,1.6675363638419116,0.0065866308664298,0.01169181763431,302.2810465133322,72425.08320114193,0.0367130153749818,SciPy,Timed Out,285.2084138393402
174264918.0523641,2.3409781624817383e-09,1.9913127828330568,0.0447371177902763,0.2262104387966278,248.57511099817944,98639.70342047868,0.0005298666847183,SciPy,Timed Out,272.28355646133423
6142742.45318529,1.1684496907506047e-09,2.772864565155967,0.1627212109498568,0.0403019775328914,299.81672620835207,60910.599432248986,0.0378843523271748,SciPy,Timed Out,278.1136474609375
32108145.724067643,1.7443323622886101e-09,2.80667506845023,0.1186680477790331,0.0550227734251236,286.22693648323497,66666.67144112749,0.0143770245745856,SciPy,Timed Out,272.5975229740143
16641021.504622212,1.2560478398527611e-09,2.50670622155592,0.0796776328306987,4.615469278440063,291.6297315953851,93109.5802043143,0.014547956759945,SciPy,Timed Out,268.6342496871948
