mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error
2213731860.664453,1.2082647151132962e-09,1.875384222555908,1.167362690872347,909147998.4185188,7.107292365164286e-06,1.6961157413160342,1.1087618172075304,0.0104847976560924,303.36582308582354,86341.92582168727,0.0325700253351241,PySDM,Timed Out
781743233.958822,2.591743528819701e-09,1.5676724570090912,1.493748965749302,577210953.0742611,3.2977322509813466e-07,1.5631258871577098,0.7157011162059101,0.2271037555205769,275.6376554918873,52587.39268993243,0.0087716534392166,PySDM,Timed Out
24793914.79402466,4.777416976935483e-07,1.5349340716909796,0.7401925466218399,986754962.9018856,4.757756942482371e-06,1.820550967602944,1.2880998926810612,0.0234878426533381,300.898525019283,58968.0148338509,0.0419475849327195,PySDM,Timed Out
6374196913.449465,4.884167499498213e-07,1.5815420765852486,0.7001302738187272,16278876.8003253,5.480815810541845e-08,1.7783881754631046,1.2460541470583577,2.90643064446175,307.22202913399883,77968.09789578027,0.0457354747887636,PySDM,Timed Out
7169296846.934739,2.66272856217835e-08,1.5873427618001836,0.7222834368363673,6515271941.201025,8.150482354113011e-06,1.9113132220037208,0.1413726455107825,0.0482681496275842,298.6347899429131,72955.78981801865,0.0291048270833328,PySDM,Timed Out
6314992476.119965,3.493913091867801e-07,1.848443311328076,0.9551307091737796,24912854.48577411,2.150830688661901e-09,1.9912411206092484,0.276728848902363,0.2834738483079363,276.2133415606873,58409.55838147307,0.008219825402251,SciPy,Timed Out
242249776.21297404,3.4360490518663614e-08,1.9105440589635665,0.0147885639353051,100115483.6000989,5.34604276104454e-06,1.6675262533293915,0.1165944879717709,0.9800786519911242,308.320395951278,51772.89719555736,0.0765779091325681,SciPy,Timed Out
567279045.5945566,2.0234640834444503e-09,1.6927947826537226,0.3231820067843438,9974410186.433365,4.3138653649666124e-06,1.7801545240450976,0.3440837049809695,0.042882183586609,293.1276910746419,90196.09800789854,0.0165372174806668,SciPy,Timed Out
184176927.4349884,2.6593478632769024e-08,1.7896158581752166,1.1946584456165918,381173100.207898,1.7516844429090224e-09,1.9311592498241523,0.2600178923197805,0.0152199631382067,275.8434119125415,62239.75315293592,0.0075055235020894,SciPy,Unexpected istate in LSODA.
190249559.57569963,1.0297306941530006e-09,1.812909517140485,0.2329544625587031,45791880.4671219,6.171993426558867e-06,1.8918998028337304,1.375953942440419,0.0755261841491028,294.72410670654347,104084.54206949552,0.0157906004315342,SciPy,Unexpected istate in LSODA.
5629148038.241273,4.696546469735458e-08,1.5877092406461362,0.281767240658602,6139866543.209812,2.0173343786286933e-07,1.7615478943275258,1.2854364657517376,2.5968812141759163,300.12219108118643,76101.24539313099,0.0305266724192502,PySDM,Timed Out
91769721.1871124,1.1876727729176487e-09,1.789583265343341,0.461675070403854,11272742.516252518,2.408034175802427e-09,1.88739532212924,0.4286225035072805,0.0861786902226239,280.0925176707671,89805.17177822179,0.0069941467077798,SciPy,Unexpected istate in LSODA.
36380545.72645209,1.8441912353843501e-09,1.80752549794351,0.1848573871945368,1051484147.51816,9.365791105180684e-06,1.7229663311816197,1.4399634758938376,0.0306637268671458,259.3253811017556,63087.96598656447,0.0020839483719823,SciPy,Unexpected istate in LSODA.
365952706.46406746,2.729500061749362e-07,1.9690144588868548,0.6112277689519442,80051789.12466075,2.856017227011216e-07,1.6889380402320728,0.5590545246564251,0.0311469894892911,291.51522466648333,51778.50169144711,0.026459722772803,PySDM,Timed Out
68787578.37724191,1.1996841345668573e-08,1.964735456102909,0.7304833136040763,271998578.39188313,3.482376847881735e-07,1.6304418371954896,1.0471899148958004,0.0762577836996414,301.2512181646492,68951.24921075563,0.0363072871186627,PySDM,Timed Out
816116681.906057,1.6274732694218726e-06,1.6196944907487325,0.5498836309867192,6670826009.492126,3.877368172563282e-09,1.8230417173400408,0.113980241555202,1.2101042421845052,249.8053351206801,97292.67820724144,0.0005995435536355,SciPy,Timed Out
9199373610.70113,3.4299383368080043e-06,1.704623674868186,0.7017562296353923,200682427.0912109,3.0817419436130594e-06,1.557600567556065,0.853638876953617,0.025309448965722,285.00876025323475,72370.40594557664,0.0121835370943151,PySDM,Timed Out
27168853.8969111,2.3276281567839083e-06,1.5833782920853126,0.0941615185080826,79732177.15140368,2.00869744785221e-09,1.5097455088477438,0.7896724235103143,4.774441497429617,275.65457072533223,76253.84922351033,0.0060302094210549,PySDM,Timed Out
23600240.89057276,3.8718989838247486e-08,1.9599276958705143,0.5568254973152194,49207497.80065486,1.030566736563188e-09,1.963650712422415,0.6344771837559685,0.103467794370332,284.39400027173866,73279.94824964678,0.0115410750858364,SciPy,Unexpected istate in LSODA.
2379392485.5956783,3.77790227035623e-07,1.5847416775861765,0.4930822870861375,32243302.08881904,3.648234070501578e-08,1.7348272574803427,0.1168345344310828,0.0521187384687621,306.8123661095688,57908.28343327773,0.0616217218311309,PySDM,Timed Out
25261492.91881691,1.0320074751290067e-09,1.6853206870322657,0.0337432382099846,895168662.3507793,2.6770602598480127e-06,1.6062457797534808,0.6979916795029527,0.0467442838727529,277.0722230985394,83929.94683183625,0.0060573490375617,SciPy,Unexpected istate in LSODA.
9582244917.861414,1.50399290668525e-07,1.7490563546003737,0.5110633930394248,516107063.2987159,1.2085369153675646e-07,1.6456120278641948,1.2478528384387058,1.852769469728613,279.4636114708493,94784.81637944358,0.0063393072717131,PySDM,Timed Out
3099419533.375532,1.429224583809992e-06,1.7263904154228955,0.9137112343826356,4687936263.475864,4.406501107359565e-06,1.644416016578533,1.3463389653726792,0.0131061906633116,262.73794991853094,85114.15323221742,0.00203281086534,PySDM,Timed Out
5510505003.510292,2.431437227584224e-06,1.6987245360855627,1.165097093462077,150794936.00696823,1.1332571743091428e-07,1.726108465762375,1.3086376526426198,0.0100668513594772,257.11814376508727,61844.37220271338,0.001771251811378,PySDM,Timed Out
89446176.51816227,8.128595057551911e-07,1.6182515537414923,1.1158854943789729,815888993.2607806,5.572313269783987e-07,1.803007007918747,0.357560562280635,9.650809931581056,286.0739452128239,94175.98290198634,0.0100068953142935,PySDM,Timed Out
1225663150.1209464,1.890916118002712e-09,1.5826903843568212,0.1029858335363414,34896756.63915653,5.121224371053505e-06,1.8854162917764492,0.1488643223881408,0.3900408260197463,269.6395199889424,64908.39015266215,0.0045555852271443,SciPy,Timed Out
4156848154.98438,7.416624165423617e-09,1.801639341377017,0.0578239943981248,2531716410.4141955,3.558691913066212e-07,1.6588111216681982,1.0951049460454882,0.0102159701210998,259.1326174622614,52756.07555012315,0.0024545726971075,SciPy,Timed Out
55446480.762098126,1.283722985514013e-09,1.9608607813797183,0.2557769059817653,16305082.051924424,9.282816369661742e-06,1.8132260106411069,1.1461488639782085,1.5460053654904504,266.35925952109903,92240.12610739964,0.0024910091167229,SciPy,Timed Out
46535314.79344761,8.218261503531513e-07,1.8005045923205112,0.8618672367702855,3084082477.1248536,1.0496693555828899e-09,1.9281976248355308,0.5437566487977461,0.7676524614757066,263.5084785290951,70534.61124605002,0.0026095121772848,SciPy,Timed Out
21643131.91278265,1.410841332679718e-09,1.878053504000765,0.1776200543527589,952032356.5753194,3.2756823371391853e-06,1.5340018992368851,0.1720896760134125,0.1685881660773597,293.69586048507654,92491.82528745734,0.0167070513730382,SciPy,Unexpected istate in LSODA.
144015589.35947722,1.1393896421579552e-09,1.9065522945446611,0.3322791592357995,102274056.87655272,5.09525925584329e-09,1.7055525844600057,1.2170290980760503,0.1580031597084776,293.0325841082114,104269.78360565592,0.0141683727341203,SciPy,Unexpected istate in LSODA.
100178435.05382028,4.475486484473712e-09,1.9796166249676068,0.7792762476119447,7897834567.953422,6.215274178004005e-06,1.914649182279453,1.4874715134010352,0.2353004647688499,304.3605044440532,64746.49334529393,0.0469800266180786,PySDM,Timed Out
8605095880.560314,3.544849581858931e-07,1.9547184298528784,0.1748652639182906,5496005837.108885,6.306468065140779e-09,1.7280369580922903,1.2771688750203256,3.399035225187213,296.95882198226275,67503.97659287829,0.0284312008205517,PySDM,Timed Out
13542910.291750902,1.2027215688883112e-09,1.5984998146870664,0.1947172332472884,30177400.339165248,6.317676137425449e-09,1.657806747047395,0.5877091006014536,0.0110983248160839,277.5773833778952,93432.26989825154,0.0056340275878587,SciPy,Unexpected istate in LSODA.
28233947.58364084,1.6724902729945674e-09,1.6170916136162543,0.1363371953074567,7734005130.629147,8.268694242312491e-07,1.8580376482406025,0.6709926519071516,0.0220002646165866,256.4534496544286,74005.49556100782,0.0013994649263469,SciPy,Unexpected istate in LSODA.
61741141.99997377,1.222783590219738e-06,1.5939353986946618,0.1059555100414675,770346185.1640707,4.7115621390316645e-08,1.867261064916001,0.6776207719088946,0.0527596540649691,297.5482740811676,75756.40367064282,0.0261533197508004,PySDM,Timed Out
1560568538.1189096,7.105648069463543e-07,1.7567191190540703,1.367697165535808,74504726.93963028,2.3992413767135982e-09,1.7197337911241584,0.0925601341786659,0.1725225615183077,308.8358052147897,73221.03559059388,0.0538960468946239,SciPy,Timed Out
960210587.509013,3.076356738999016e-07,1.684829653190342,1.0046567890674012,316689068.3478108,3.292458904912397e-07,1.5634365571566642,0.029318752895781,0.5161871743900751,304.2615031930593,57055.79907992289,0.0535328928567744,PySDM,Timed Out
34016220.12702589,7.490609004830152e-07,1.581624520775731,1.262477671704001,52754779.44093294,1.101600621271745e-09,1.5602563172530126,0.0263103467074984,2.194862078676078,248.40602510468503,73666.70456653186,0.0006990011396692,SciPy,Timed Out
3241613129.1392097,1.7864000032474445e-07,1.5775109301141623,1.2879861193037967,935254563.808226,2.996770315665366e-09,1.530006363119962,0.3584740478494936,0.0869603531427508,296.8191315008369,65689.39406675492,0.0289974961973097,PySDM,Timed Out
