simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac,act_rate
27,1259356446.6515863,1.0277661819164571e-08,1.6725851189081182,0.3362588371439086,0.0652271441750387,264.8494927742517,101001.9531820447,1,0.0020223992182727,264.8367516301632,100984.9383100687,130.0,1.0042601103324589,264.77225960866474,100892.47611082911,0.0020210096767405,1.3895998903311706e-06,0.4486365101933121,0.012,94894.69049103562
28,103675755.41536371,1.0602534055417267e-09,1.70316997574852,1.1866922307415475,9.949589477895788,255.19534881280237,88917.68937359235,1,0.0010471442633062,255.17582261597704,88893.8677376674,33.669730871232616,1.1814115238664686,252.09952061966632,84996.31178917136,0.0009923139931056,5.483307940075356e-05,18.18574702697637,0.131,0.0
29,5423340678.203244,7.324488670305602e-07,1.6571463463844127,0.2020437575276384,2.6395978068083936,297.53522401106113,96895.0385410375,1,0.0202454776441075,,,378.8455943631558,0.9986037176551238,293.6599627821583,86014.44774971996,0.0179348797258732,0.0023355012862802,-0.1096083663496005,0.0,0.0
30,191273591.3847645,1.329122703227785e-09,1.6793728977567095,1.1992368798422752,0.2450994777409343,301.0180056156147,72089.90302490011,1,0.034145888207876,300.9981611529094,72073.26255547666,244.7985632324311,1.0221254786496947,300.50100325158405,71582.3052332506,0.0341018321902367,4.405846066912031e-05,2.247129885560062,0.001,0.0
31,265797281.4584633,2.499472841860263e-07,1.7724290381117151,0.2865143677647698,2.168427149415177,283.9023096731988,82087.39144548486,1,0.0099465063100637,283.88933119896086,82068.03829907396,11.990257550045971,1.00496823248206,283.7304928237222,81826.89720124325,0.0099130794511958,3.3502766379910575e-05,0.5292489180926951,1.0,7482112.680057879
32,609752541.0578115,6.134683156686807e-08,1.686726959886493,0.1458021436161355,9.234727009681642,306.0701853538445,67605.45767916887,1,0.0497575185714286,306.0503604272124,67589.98341159607,4.331476172285788,1.0107997425237754,305.7702063513579,67278.27665017654,0.049690349546906,6.717556866071888e-05,1.112880656446169,0.982,0.0
33,2834760108.359523,8.862690162227667e-07,1.6006871419787516,0.4230125480875399,2.766484847429292,293.8327937690182,62256.63565677647,1,0.0253707016563843,,,361.46953811413215,0.9977095171425922,289.0753408361392,54132.638078341406,0.021472047977197,0.0039293718800253,-0.1936950214609822,0.0,0.0
34,11391265.520114517,4.196005067676797e-08,1.6830469292916808,1.0447394789265407,8.007186640929463,289.15038642510825,82903.93850998303,1,0.0139550236033388,289.13074468106254,82884.21300435999,31.47172799893008,1.0731312895512426,287.28747867865286,80404.81161711187,0.0136915962254873,0.0002634412716761,7.347322401403034,1.0,0.0
35,418496261.6550597,5.424778032908094e-09,1.7717150248351476,0.5531110641491872,9.065026505593638,256.4785068059618,86537.4760356299,1,0.0011989272671771,256.4589792448019,86514.40636282369,10.36952290674459,1.0446303074104268,255.6202978573401,85459.83197521356,0.0011799843641272,1.894386740345032e-05,4.502159732179312,0.406,3229408.0917619644
36,152336995.4500851,5.851530306670225e-09,1.7278933863479635,0.346033075515828,0.8239914778974555,268.2304796148092,99628.87906170472,1,0.0026611369224786,268.21093815793364,99603.46495448113,53.39861051994489,1.0198329098315213,267.84151154561096,99074.48536304812,0.0026496951791311,1.1442315310148574e-05,2.017791973309624,0.099,97151.68801281486
37,25452303.94103365,1.605391993531178e-08,1.6833597829218612,0.1371406751087897,1.5190702011343715,258.2009782235912,82090.58643335514,1,0.0014589139992499,258.1814481754769,82068.8454763181,48.71400936226654,1.0322109297323172,257.53554277167336,81289.37222073073,0.0014392780777381,1.9636924139658356e-05,3.259639460253672,0.702,0.0
39,41045129.499558,9.629914219615084e-09,1.7559589743970367,1.0432501763569542,7.933923077427923,308.00632536146,86491.62537377569,1,0.0428765880125585,307.98639567011253,86472.02947071902,16.25929552644716,1.034760863359068,307.0569344810162,85202.0908209159,0.0427171238432265,0.0001594726165291,3.5060908612040587,0.881,0.0
