simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac_product,act_rate,act_frac_S,act_frac_V,mode_wet_radius_mean,mode_wet_radius_stdev,,
31,8.69E+07,1.38E-06,1.939852571,1.114396648,0.421688064,290.9968149,52018.34238,1,0.025454531,290.992273,52012.90286,16.59994814,1.000131678,290.9624202,51968.4974,0.025426081,6.48676144,0.000136894,0.99793153,0,0.99793153,0,5.27E-05,11.42066963,,
32,6.13E+09,8.91E-09,1.886811547,0.965416749,0.224749456,288.0648132,103949.2431,1,0.010321967,288.0550246,103936.8572,31.14579292,1.002498709,288.0086468,103865.1623,0.01031868,3.31E-06,0.002583576,0.025381353,1.08E+06,0.025381353,0.024880487,3.97E-08,18.42435464,,
34,1.94E+08,2.60E-09,1.732505032,0.469552502,5.444062047,300.0251204,100463.8666,1,0.022717365,300.0152537,100452.2978,24.61397369,1.046882305,298.928156,98922.54744,0.022638102,7.93E-05,0.046919127,0.08886834,0,0.08886834,0.08886834,2.33E-08,106.4336429,,
35,9.64E+09,4.88E-08,1.942820832,1.361981057,2.41051225,272.6483494,73229.78124,1,0.005047706,272.6397919,73220.86614,7.467292481,1.001211614,272.5311191,73061.10077,0.005022099,0.000199215,0.00121298,0.510207762,0,0.510207762,0,4.08E-07,11.80443908,,
37,2.10E+08,3.95E-07,1.930034257,0.10625915,0.120596485,293.4999701,73906.51858,1,0.020789411,293.4942208,73898.69839,174.1344281,1.000286552,293.4083459,73712.12538,0.020730718,0.001181594,0.000287102,0.713275106,0,0.713275106,0,2.72E-06,11.26616756,,
38,5.25E+08,6.36E-08,1.965239312,1.239090881,0.01792818,290.3679877,74771.82705,1,0.016792068,290.3629126,74763.99625,613.5592205,1.000228001,290.3176666,74670.29942,0.016764563,6.37E-05,0.000228379,0.117874678,0,0.117874678,0,6.03E-07,12.95511115,,
39,2.89E+07,6.62E-07,1.974413722,0.28089119,0.135884697,256.0489809,57959.34118,1,0.001728231,256.0400338,57951.75836,73.59180391,1.000827306,255.9667285,57880.55922,0.001720063,0.008094851,0.000828781,0.995595897,0,0.995595897,0,9.01E-06,11.38718007,,
40,1.47E+09,3.82E-06,1.537374654,0.494692792,0.037840933,274.0086327,95163.21016,1,0.004282191,274.003522,95152.77004,79.27922894,1.000000296,273.9920757,95129.38834,0.004278573,124.4201494,3.49E-07,0.000602956,0,0.000602956,0,0.0001558,4.90022157,,
41,5.36E+09,5.09E-08,1.648265504,1.106413896,0.603805649,303.1668992,104667.341,1,0.026309091,303.1594147,104656.1212,14.90545843,1.000784962,303.1258199,104562.6158,0.02629349,2.81E-05,0.000785752,0.350545467,0,0.350545467,0,4.36E-07,6.737573028,,
42,3.09E+08,1.36E-08,1.695998297,0.477545273,3.108387026,274.8139235,98115.89244,1,0.004401893,274.8041446,98103.66729,11.25985912,1.013946117,274.5177871,97692.01628,0.004388257,1.36E-05,0.0139661,0.520408842,0,0.520408842,0.520408842,1.48E-07,24.4542334,,
43,1.87E+09,2.91E-06,1.648733733,1.004307442,0.103458221,277.1762612,89291.42776,1,0.005732497,277.1715139,89281.82681,28.99721244,1.000000632,277.1606877,89259.92017,0.005728207,279.1459334,7.24E-07,0.031469318,0,0.031469318,0,0.00014802,6.345205548,,
44,8.12E+07,8.86E-07,1.947998823,0.65237552,5.721537856,266.7421833,80537.06231,1,0.002940268,266.7326794,80526.80264,6.641571018,1.00463897,266.4642567,80143.56924,0.002905573,0.199814577,0.004641795,1,50480.72239,1,0.001405957,2.39E-05,9.111311229,,
45,2.81E+07,2.08E-08,1.975458008,0.295859073,4.774911986,307.2269363,67238.34409,1,0.053679582,307.2169182,67230.66674,23.24650178,1.029663554,306.3963909,66327.61734,0.053478246,0.00020135,0.029673998,0.906943402,0,0.906943402,0.906943402,6.75E-07,50.69979647,,
46,4.43E+09,9.62E-08,1.812449782,0.490795563,2.975087899,300.1420174,93459.07248,1,0.02466227,300.1335424,93448.6833,4.369618795,1.001249196,300.0788841,93319.19893,0.024637753,0.000184973,0.001250904,0.786195367,0,0.786195367,0,7.36E-07,8.928117138,,
47,8.86E+09,1.96E-08,1.542162887,0.635233767,0.546185457,306.6097248,68327.7606,1,0.050821448,306.5997643,68319.96206,12.81615962,1.002391145,306.5510087,68273.7921,0.050815818,5.73E-06,0.002414539,0.091644604,8.98E+07,0.091644604,0.087503911,1.10E-07,8.211623701,,
48,1.86E+09,3.34E-07,1.854247318,1.099330656,0.119725282,249.6970103,74154.86497,1,0.000779315,249.6888896,74145.14801,108.5819119,1.000019197,249.5870545,74022.96274,0.000773125,0.062821967,1.99E-05,0.060272056,0,0.060272056,0,5.75E-06,9.780460025,,
