simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac,act_rate,ARG_act_frac
530,4.327345170760886e8,1.4280953209648521e-9,1.741159684073717,0.7593333053897325,0.1762476163400465,294.0972239656585,59948.48245252266,0.2123750909146383,100.0999999999986,1.0086808703489347,293.92280322398983,59824.075896948,0.0268402179582111,1.8307107530865453e-13,0.8676512142717918,0.0,0.0,1.0319980355832925e-6
531,1.0871598532521848e7,2.451204657695655e-9,1.7105994260074064,1.1368008288004576,0.4308967845976723,280.0768814520788,76609.64267860033,0.6482101624776206,100.0999999999986,1.0238022958299131,279.65642075644064,76205.49955336453,0.0082048956707806,9.308737589351468e-7,2.379192687231768,0.028,0.0,0.02813982469959764
532,5.456163937830309e8,9.515440290984376e-9,1.7345553092716788,0.7134252854157878,0.8792657533157036,292.3689927379529,71576.48555323266,0.6095051031709389,21.20000000000003,1.0070880298059253,292.2094802068363,71416.00055524964,0.019974978507778,1.2976180068223355e-5,0.7116821721516287,0.144,6.47250561691136e6,0.06565561436118456
533,4.737087730745366e8,5.751912001998087e-9,1.7266294757133316,0.3795820503630391,2.044584384139847,305.17680457683065,72455.93941235164,0.1606481262418433,22.200000000000045,1.015315235802001,304.7964850443729,72068.01640420221,0.0437118112187693,4.382691806810205e-5,1.5379853171340052,0.087,0.0,0.01929002918757533
534,9.486225730528665e7,8.541389744740486e-8,1.7820792632415507,0.5089286544926185,1.126631199110992,282.9155546284884,99674.63753259977,0.3780901606348366,18.39999999999999,1.0064199347391791,282.7565719344993,99425.9333107496,0.0076268559526128,1.5011316679122252e-5,0.6455344254567841,0.992,0.0,0.9846700590109537
535,9.314697480409534e9,4.242038600225119e-9,1.6595377610605384,0.2169600887575419,1.466001815830538,303.44851094983864,98335.96379755076,0.8448522357051996,24.300000000000075,1.013069057498219,303.1407992255132,97935.74712320427,0.0285402326268391,1.663143924162218e-5,1.3111344856373996,0.004,0.0,7.415665671739458e-5
536,7.672577245004168e7,4.705508361117946e-9,1.6481523181075617,0.4909294751179641,0.2431431948810483,263.56504261581364,78918.76235704448,0.2535120597194139,100.0999999999986,1.015293193209173,263.32899651239586,78669.69471655617,0.0023410490018888,6.483924666271601e-7,1.5288218300609555,0.022,736449.936976502,0.0050087768582364744
537,5.157202551451768e7,2.1106980547550207e-7,1.705370619588216,0.0421091587778969,3.714684423204603,288.3489675713916,94571.50155728552,0.5639054430697644,17.59999999999998,1.018718763982596,287.8664535786546,93836.5781886422,0.0115222494252514,5.618224034963344e-5,1.883464280632552,1.0,0.0,0.99978786616234
538,5.517351179712894e9,3.1224235885290885e-8,1.7881814297032737,0.8981499107210005,0.4319901822184281,254.3655501920229,80019.38322971479,0.1853684030233851,17.59999999999998,1.002142164042642,254.29911940434167,79937.60854897097,0.0010817645312327,4.548343738029133e-6,0.2158277774353845,0.33,2.518419002973207e8,0.1864391824154888
539,9.40948385149525e7,2.8094255017657198e-8,1.7130553281871614,1.1170705669830785,0.1798167460099745,303.3312959619722,64889.00943190751,0.819272144430625,43.10000000000034,1.002648194661384,303.2656942217206,64828.48465035077,0.044000010024343,8.438850628540786e-6,0.2654073613489682,0.519,0.0,0.38799826777111945
